Celsius        |     Fahrenheit
108.00         |         226.40
109.00         |         228.20
110.00         |         230.00
111.00         |         231.80
112.00         |         233.60
113.00         |         235.40
114.00         |         237.20
115.00         |         239.00
116.00         |         240.80
117.00         |         242.60
118.00         |         244.40
119.00         |         246.20
120.00         |         248.00
121.00         |         249.80
122.00         |         251.60
123.00         |         253.40
124.00         |         255.20
125.00         |         257.00
126.00         |         258.80
127.00         |         260.60
128.00         |         262.40
129.00         |         264.20
130.00         |         266.00
131.00         |         267.80
132.00         |         269.60
133.00         |         271.40
134.00         |         273.20
135.00         |         275.00
136.00         |         276.80
137.00         |         278.60
138.00         |         280.40
139.00         |         282.20
140.00         |         284.00
141.00         |         285.80
142.00         |         287.60
143.00         |         289.40
144.00         |         291.20
145.00         |         293.00
146.00         |         294.80
147.00         |         296.60
148.00         |         298.40
149.00         |         300.20
150.00         |         302.00
151.00         |         303.80
152.00         |         305.60
153.00         |         307.40
154.00         |         309.20
155.00         |         311.00
156.00         |         312.80
157.00         |         314.60
158.00         |         316.40
159.00         |         318.20
160.00         |         320.00
161.00         |         321.80
162.00         |         323.60
163.00         |         325.40
164.00         |         327.20
165.00         |         329.00
166.00         |         330.80
167.00         |         332.60
168.00         |         334.40
169.00         |         336.20
170.00         |         338.00
171.00         |         339.80
172.00         |         341.60
173.00         |         343.40
174.00         |         345.20
175.00         |         347.00
176.00         |         348.80
177.00         |         350.60
178.00         |         352.40
179.00         |         354.20
180.00         |         356.00
181.00         |         357.80
182.00         |         359.60
183.00         |         361.40
184.00         |         363.20
185.00         |         365.00
186.00         |         366.80
187.00         |         368.60
188.00         |         370.40
189.00         |         372.20
190.00         |         374.00
191.00         |         375.80
192.00         |         377.60
193.00         |         379.40
194.00         |         381.20
195.00         |         383.00
196.00         |         384.80
197.00         |         386.60
198.00         |         388.40
199.00         |         390.20
200.00         |         392.00
201.00         |         393.80
202.00         |         395.60
203.00         |         397.40
204.00         |         399.20
205.00         |         401.00
206.00         |         402.80
207.00         |         404.60
208.00         |         406.40
209.00         |         408.20
210.00         |         410.00
211.00         |         411.80
212.00         |         413.60
213.00         |         415.40
214.00         |         417.20
215.00         |         419.00
216.00         |         420.80
217.00         |         422.60
218.00         |         424.40
219.00         |         426.20
220.00         |         428.00
221.00         |         429.80
222.00         |         431.60
223.00         |         433.40
224.00         |         435.20
225.00         |         437.00
226.00         |         438.80
227.00         |         440.60
228.00         |         442.40
229.00         |         444.20
230.00         |         446.00
231.00         |         447.80
232.00         |         449.60
233.00         |         451.40
234.00         |         453.20
235.00         |         455.00
236.00         |         456.80
237.00         |         458.60
238.00         |         460.40
239.00         |         462.20
240.00         |         464.00
241.00         |         465.80
242.00         |         467.60
243.00         |         469.40
244.00         |         471.20
245.00         |         473.00
246.00         |         474.80
247.00         |         476.60
248.00         |         478.40
249.00         |         480.20
250.00         |         482.00
251.00         |         483.80
252.00         |         485.60
253.00         |         487.40
254.00         |         489.20
255.00         |         491.00
256.00         |         492.80
257.00         |         494.60
258.00         |         496.40
259.00         |         498.20
260.00         |         500.00
261.00         |         501.80
262.00         |         503.60
263.00         |         505.40
264.00         |         507.20
265.00         |         509.00
266.00         |         510.80
267.00         |         512.60
268.00         |         514.40
269.00         |         516.20
270.00         |         518.00
271.00         |         519.80
272.00         |         521.60
273.00         |         523.40
274.00         |         525.20
275.00         |         527.00
276.00         |         528.80
277.00         |         530.60
278.00         |         532.40
279.00         |         534.20
280.00         |         536.00
281.00         |         537.80
282.00         |         539.60
283.00         |         541.40
284.00         |         543.20
285.00         |         545.00
286.00         |         546.80
287.00         |         548.60
288.00         |         550.40
289.00         |         552.20
290.00         |         554.00
291.00         |         555.80
292.00         |         557.60
293.00         |         559.40
294.00         |         561.20
295.00         |         563.00
296.00         |         564.80
297.00         |         566.60
298.00         |         568.40
299.00         |         570.20
300.00         |         572.00
